sample_id,sample_age_rep,harvest_time
lea_Spec4_diverse_ED00302.asd.ref,LE1619_o_3,ED
lea_Spec4_diverse_ED00303.asd.ref,LE1619_o_3,ED
lea_Spec4_diverse_ED00304.asd.ref,LE1619_o_3,ED
lea_Spec4_diverse_ED00305.asd.ref,LE1619_o_3,ED
lea_Spec4_diverse_ED00306.asd.ref,LE1619_o_3,ED
lea_Spec4_diverse_ED00307.asd.ref,LE1619_o_3,ED
lea_Spec4_diverse_ED00308.asd.ref,LE1619_o_3,ED
lea_Spec4_diverse_ED00309.asd.ref,LE1619_o_3,ED
lea_Spec4_diverse_ED00310.asd.ref,LE1619_m_1,ED
lea_Spec4_diverse_ED00311.asd.ref,LE1619_m_1,ED
lea_Spec4_diverse_ED00312.asd.ref,LE1619_m_1,ED
lea_Spec4_diverse_ED00313.asd.ref,LE1619_m_1,ED
lea_Spec4_diverse_ED00314.asd.ref,LE1619_m_1,ED
lea_Spec4_diverse_ED00315.asd.ref,LE1619_m_1,ED
lea_Spec4_diverse_ED00316.asd.ref,LE1619_m_1,ED
lea_Spec4_diverse_ED00317.asd.ref,LE1619_m_1,ED
lea_Spec4_diverse_ED00318.asd.ref,LE1619_m_1,ED
lea_Spec4_diverse_ED00319.asd.ref,LE1619_m_1,ED
lea_Spec4_diverse_ED00320.asd.ref,LE1619_m_2,ED
lea_Spec4_diverse_ED00321.asd.ref,LE1619_m_2,ED
lea_Spec4_diverse_ED00322.asd.ref,LE1619_m_2,ED
lea_Spec4_diverse_ED00323.asd.ref,LE1619_m_2,ED
lea_Spec4_diverse_ED00324.asd.ref,LE1619_m_2,ED
lea_Spec4_diverse_ED00325.asd.ref,LE1619_m_2,ED
lea_Spec4_diverse_ED00326.asd.ref,LE1619_m_2,ED
lea_Spec4_diverse_ED00327.asd.ref,LE1619_m_2,ED
lea_Spec4_diverse_ED00328.asd.ref,LE1619_m_2,ED
lea_Spec4_diverse_ED00329.asd.ref,LE1619_m_2,ED
lea_Spec4_diverse_ED00330.asd.ref,LE1619_m_3,ED
lea_Spec4_diverse_ED00331.asd.ref,LE1619_m_3,ED
lea_Spec4_diverse_ED00332.asd.ref,LE1619_m_3,ED
lea_Spec4_diverse_ED00333.asd.ref,LE1619_m_3,ED
lea_Spec4_diverse_ED00334.asd.ref,LE1619_m_3,ED
lea_Spec4_diverse_ED00335.asd.ref,LE1619_m_3,ED
lea_Spec4_diverse_ED00336.asd.ref,LE1619_m_3,ED
lea_Spec4_diverse_ED00337.asd.ref,LE1619_m_3,ED
lea_Spec4_diverse_ED00338.asd.ref,LE1619_m_3,ED
lea_Spec4_diverse_ED00339.asd.ref,LE1619_m_3,ED
lea_Spec4_diverse_ED00340.asd.ref,LE1619_m_4,ED
lea_Spec4_diverse_ED00341.asd.ref,LE1619_m_4,ED
lea_Spec4_diverse_ED00342.asd.ref,LE1619_m_4,ED
lea_Spec4_diverse_ED00343.asd.ref,LE1619_m_4,ED
lea_Spec4_diverse_ED00344.asd.ref,LE1619_m_4,ED
lea_Spec4_diverse_ED00345.asd.ref,LE1619_m_4,ED
lea_Spec4_diverse_ED00346.asd.ref,LE1619_m_4,ED
lea_Spec4_diverse_ED00347.asd.ref,LE1619_m_4,ED
lea_Spec4_diverse_ED00348.asd.ref,LE1619_m_4,ED
lea_Spec4_diverse_ED00349.asd.ref,LE1619_m_4,ED
lea_Spec4_diverse_ED00350.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00351.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00352.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00353.asd.ref,WEISS,ED
