wavelength,vip,model,coef
484,0.9485374878347638,PLSR starch,-0.45309135095865083
2280,0.9469522587263357,PLSR starch,-1.1534470746359606
2204,0.9467844024673908,PLSR starch,0.2844118542034185
1296,0.9464848897194168,PLSR starch,0.3598662349130222
964,0.946150330120253,PLSR starch,-0.1885262585845237
788,0.945319963321364,PLSR starch,-0.6560642082049541
536,0.9447630878633919,PLSR starch,-0.07229568505998163
1032,0.9439257968412182,PLSR starch,0.23715613657094858
1932,0.9426076340577806,PLSR starch,0.031990295814430636
956,0.9415152991566891,PLSR starch,0.5815196824340109
572,0.9412175432831413,PLSR starch,-0.14732562217423056
1832,0.938747600676318,PLSR starch,0.7702244978337363
2220,0.9379462205951208,PLSR starch,0.012232233530759196
1124,0.9376205350847654,PLSR starch,0.11745356443326371
1320,0.9361537755969226,PLSR starch,0.2778594111735717
928,0.9357101900983489,PLSR starch,0.6761677641083808
808,0.9339349674608438,PLSR starch,0.048779284128981484
960,0.9319386312545686,PLSR starch,0.32439027776833096
1720,0.9304094926968126,PLSR starch,0.2867757343662023
716,0.928582105175962,PLSR starch,-0.44904571876487864
2340,0.927701133806822,PLSR starch,1.245202088099356
952,0.9255970346187127,PLSR starch,0.5177131744243357
1128,0.925269517188667,PLSR starch,0.18997196948352463
940,0.9243529632301712,PLSR starch,0.20437004460806296
1780,0.9234904400365747,PLSR starch,0.23584750050377937
